Exchange,UniqueNo,SchemeCode,RTASchemeCode,AMCSchemeCode,ISINNO,SchemeType,SchemePlan,MinimumPurchaseAmount,AdditionalPurchaseAmountMultiple,MaximumPurchaseAmount,DividendReinvestmentFlag,SIPFLAG,STPFLAG,SWPFlag,SwitchFLAG,SETTLEMENTTYPE,StartDate,ExitLoadFlag,ExitLoad,LockinPeriodFlag,LockinPeriod,ChannelPartnerCode
B,71,02-DP,02,02,INF209K01090,ELSS,NORMAL,1,1,0,N,Y,N,Y,Y,T3,19-07-2010 00:00:00,N,0,N,0,B02
B,37957,02-DP-I,02,2,INF209K01090,ELSS,NORMAL,500,1,0,N,Y,N,N,N,T3,11-09-2018 00:00:00,N,0,N,0,B02
B,3180,02-DP-L1,02,02,INF209K01090,ELSS,NORMAL,200000,1,0,N,Y,N,N,N,L1,19-07-2010 00:00:00,N,0,N,0,B02
B,37958,02-DP-L1-I,02,2,INF209K01090,ELSS,NORMAL,200000,1,0,N,Y,N,N,N,L1,11-09-2018 00:00:00,N,0,N,0,B02
B,72,02G,02G,02G,INF209K01108,ELSS,NORMAL,500,1,0,Z,Y,N,Y,Y,T3,19-07-2010 00:00:00,N,0,N,0,B02G
B,37959,02G-I,02G,02G,INF209K01108,ELSS,NORMAL,500,1,0,Z,Y,N,N,N,T3,11-09-2018 00:00:00,N,0,N,0,B02G
B,3181,02G-L1,02G,02G,INF209K01108,ELSS,NORMAL,200000,1,0,Z,Y,N,N,N,L1,19-07-2010 00:00:00,N,0,N,0,B02G
B,37960,02G-L1-I,02G,02G,INF209K01108,ELSS,NORMAL,200000,1,0,Z,Y,N,N,N,L1,11-09-2018 00:00:00,N,0,N,0,B02G
B,2495,1047D,1047D,1047D,INF209K01PW9,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,19-03-2012 00:00:00,N,0,N,0,B1047D
B,7155,1180A-DP,1180A,1180A,INF209K010W9,EQUITY,NORMAL,1000,1,0,N,Y,Y,Y,Y,T3,05-11-2013 00:00:00,N,0,N,0,B1180A
B,36969,1180A-DP-I,1180A,1180A,INF209K010W9,EQUITY,NORMAL,1000,1,0,N,Y,N,N,N,T3,11-09-2018 00:00:00,N,0,N,0,B1180A
B,7492,1180A-DP-L1,1180A,1180A,INF209K010W9,EQUITY,NORMAL,200000,1,0,N,Y,N,N,N,L1,24-12-2013 00:00:00,N,0,N,0,B1180A
B,36970,1180A-DP-L1-I,1180A,1180A,INF209K010W9,EQUITY,NORMAL,200000,1,0,N,Y,N,N,N,L1,11-09-2018 00:00:00,N,0,N,0,B1180A
B,6902,1180B-GR,1180B,1180B,INF209K011W7,EQUITY,NORMAL,1000,1,0,Z,Y,Y,Y,Y,T2,29-11-2013 00:00:00,N,0,N,0,B1180B
B,36973,1180B-GR-I,1180B,1180B,INF209K011W7,EQUITY,NORMAL,1000,1,0,Z,Y,Y,Y,Y,T3,11-09-2018 00:00:00,Y,0,Y,0,B1180B
B,7491,1180B-GR-L1,1180B,1180B,INF209K011W7,EQUITY,NORMAL,200000,1,0,Z,Y,N,N,N,L1,24-12-2013 00:00:00,N,0,N,0,B1180B
B,36974,1180B-GR-L1-I,1180B,1180B,INF209K011W7,EQUITY,NORMAL,200000,1,0,Z,Y,N,N,N,L1,11-09-2018 00:00:00,N,0,N,0,B1180B
B,7156,1180C-DR,1180C,1180C,INF209K012W5,EQUITY,NORMAL,1000,1,0,Y,Y,Y,Y,Y,T3,05-12-2013 00:00:00,N,0,N,0,B1180C
B,36975,1180C-DR-I,1180C,1180C,INF209K012W5,EQUITY,NORMAL,1000,1,0,Y,Y,N,N,N,T3,11-09-2018 00:00:00,N,0,N,0,B1180C
B,7493,1180C-DR-L1,1180C,1180C,INF209K012W5,EQUITY,NORMAL,200000,1,0,Y,Y,N,N,N,L1,24-12-2013 00:00:00,N,0,N,0,B1180C
B,36976,1180C-DR-L1-I,1180C,1180C,INF209K012W5,EQUITY,NORMAL,200000,1,0,Y,Y,N,N,N,L1,11-09-2018 00:00:00,N,0,N,0,B1180C
B,8070,1197B-GR,1197B,1197B,INF209KA1458,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,21-01-2014 00:00:00,N,0,N,0,B1197B
B,8067,1203A-DP,1203A,1203A,INF209KA1649,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,21-01-2014 00:00:00,N,0,N,0,B1203A
B,8066,1203B-GR,1203B,1203B,INF209KA1631,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,21-01-2014 00:00:00,N,0,N,0,B1203B
B,8072,1204A-DP,1204A,1204A,INF209KA1821,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,24-01-2014 00:00:00,N,0,N,0,B1204A
B,8071,1204B-GR,1204B,1204B,INF209KA1813,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,24-01-2014 00:00:00,N,0,N,0,B1204B
B,8073,1204C-DP,1204C,1204C,INF209KA1839,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,24-01-2014 00:00:00,N,0,N,0,B1204C
B,8075,1205A-DP,1205A,1205A,INF209KA1888,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,28-01-2014 00:00:00,N,0,N,0,B1205A
B,8074,1205B-GR,1205B,1205B,INF209KA1870,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,28-01-2014 00:00:00,N,0,N,0,B1205B
B,8076,1205C-DP,1205C,1205C,INF209KA1896,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,28-01-2014 00:00:00,N,0,N,0,B1205C
B,8175,1207A-DP,1207A,1207A,INF209KA1AA1,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,04-02-2014 00:00:00,N,0,N,0,B1207A
B,8174,1207B-GR,1207B,1207B,INF209KA1995,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,04-02-2014 00:00:00,N,0,N,0,B1207B
B,8176,1207C-DP,1207C,1207C,INF209KA1AB9,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,04-02-2014 00:00:00,N,0,N,0,B1207C
B,8178,1208A-DP,1208A,1208A,INF209KA1AG8,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,04-02-2014 00:00:00,N,0,N,0,B1208A
B,8177,1208B-GR,1208B,1208B,INF209KA1AF0,DEBT,NORMAL,1000,10,0,Z,N,N,N,N,MF,04-02-2014 00:00:00,N,0,N,0,B1208B
B,8179,1208C-DP,1208C,1208C,INF209KA1AH6,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,04-02-2014 00:00:00,N,0,N,0,B1208C
B,8326,1210A-DP,1210A,1210A,INF209KA1AS3,DEBT,NORMAL,1000,10,0,N,N,N,N,N,MF,11-02-2014 00:00:00,N,0,N,0,B1210A
